t,A_metal,B_metal,sigma_metal,C_metal,A_gas,B_gas,sigma_gas,C_gas
0.01,845.834285767722,-156.063969129147,0.01879207317070069,-20.49718298133721,516.8638780479243,-36.0598061543732,-0.0234664986608546,-8.00700051269252
0.02,848.5021127134288,-119.89151930055296,-0.018625407107640848,-12.977841542125542,584.1194170379093,-72.76910721397955,0.02995098203649197,-7.443827648599523
0.03,850.0418198963365,-100.22811088807369,-0.01878275216329255,-10.969639661956618,626.4158256434307,-101.67942553562992,0.03402774464753098,-6.4776801628412874
0.04,849.1298051412382,-87.26756685297835,0.019041005679587157,-10.415327496434756,653.8494055157367,-122.80923294086588,0.03697955305055267,-5.024349682596297
0.05,846.9102724018016,-78.0515197314615,-0.019375735959080254,-10.56038616173804,672.0106139084802,-137.91541739292532,0.039244453272977924,-2.8678037169020336
0.06,844.0713752736742,-71.16820876974656,0.01978274309260238,-11.121695928452267,684.1328354229223,-148.58618851368348,0.04104364663300647,-0.18642330010762248
0.07,840.9970777451074,-65.84474503299546,0.02027800825029644,-12.074040747971223,692.2403869531911,-156.08184564037182,0.04252141665121589,2.6370510913513208
0.08,837.8607321279965,-61.6044781792079,0.02086320513928142,-13.297508671017912,697.6324004463612,-161.32430657124098,0.04377380552025544,5.331778493133167
0.09,834.7664473098957,-58.152253267957796,0.021549462694233707,-14.761633552441207,701.6273564203061,-165.33377392049417,0.04498286865025453,6.671938420248717
0.1,831.7258407281204,-55.27813736089978,-0.022315609686456492,-16.27637275171859,704.1134352888239,-168.03699316462374,0.04601675031880999,8.17176094795564
0.11,828.791774183898,-52.857236199309604,0.023181872189299502,-17.900896682011165,705.7937456991389,-169.99808890924032,0.04698718364899775,9.09435639427303
0.12,825.9936129017999,-50.79513891616072,0.024169362851725683,-19.658264036739677,706.9610106640718,-171.46240470253846,0.04792188912843869,9.407834462036757
0.13,1572182.1589588036,-1571377.2536911468,1.6780589899729659,-18017.800788586435,707.7964558126976,-172.58711793290934,0.04883508886218712,9.166617536486397
0.14,2098582.203650593,-2097780.778222749,1.7779541582427083,-21438.394743496046,708.5229171950178,-173.56375799194092,0.049761346088805,8.215329848186302
0.15,818.5972223141376,-46.06668389349743,0.02819922463201744,-25.809879631521788,709.0386679919383,-174.3252807812485,0.05066008828590304,7.016959667095528
0.16,816.6321826454756,-44.740828938254815,0.03029149737072895,-28.421849091694618,709.4663112410984,-174.98472235679907,0.05155079844687898,5.477388998870723
0.17,815.2484767415041,-43.25681009564253,0.033641180251497,-31.800104237601754,709.7755705470086,-175.53129984117044,0.0524169743920648,3.7757197434177776
0.18,3594807.504534151,-3594019.2725711586,1.9312753564508456,-31151.836459288963,709.9932583556547,-175.99638300593386,0.053258982835464645,1.9406970395761567
0.19,3256306.4906397047,-3255521.3666560547,-1.8625791670622285,-30330.861421020436,709.9665942036718,-176.265564579827,0.054031491297511246,0.3311120600603461
0.2,4325777.235435825,-4324995.1450709775,1.9782353493402076,-35736.05494107614,709.7669187902806,-176.3990974236772,0.05474864841495322,-1.159160092167194
0.21,4278902.508519241,-4278123.379464509,1.952473200410602,-36285.411739688425,709.434413085752,-176.43304170108735,0.055416128523965755,-2.5881015490078765
0.22,4475817.40556764,-4475041.168150023,-1.9551604464925654,-37852.30421451848,708.9283106406892,-176.33454994513178,0.056020049596825224,-3.8558169311115322
0.23,4260238.710629859,-4259465.296811508,-1.9130322862567495,-37628.46960188252,708.2667762403773,-176.11816985845823,0.05656189563543304,-4.982666604606786
0.24,4242537.208900097,-4241766.554513284,-1.8939395205413452,-38229.48271018806,707.4600852565575,-175.790945056952,0.057042201389251965,-5.973835173845906
0.25,4271134.904888927,-4270366.94664298,-1.8809110875661543,-39021.029861434,706.5315824697612,-175.37114793721184,0.05746521577838637,-6.8577685370985435
0.26,4363220.242481073,-4362454.919238704,-1.8755314131043355,-40091.284919400096,705.5149044851713,-174.8851640900686,0.05783924595539762,-7.676243110922271
0.27,4266198.903912537,-4265436.155251265,-1.8504206609095795,-40267.630600555975,704.4482667766782,-174.3642596853357,0.05817392983528881,-8.483950455243873
0.28,6714725.393249184,-6713965.162023374,2.0575003269766383,-51300.80470573997,703.3670274345392,-173.83690322612506,0.05847943257910146,-9.324071576627162
0.29,6009721.086671632,-6008963.320350951,1.9867488548659458,-49232.90534313331,702.302518685669,-173.3284974349955,0.0587652202213499,-10.235264209731408
0.3,7735480.996646702,-7734725.641076022,2.101803755433,-56642.704577091856,701.2833757465601,-172.861889707479,0.059040816608073435,-11.249795337005159
0.31,6711323.66616152,-6710570.668991747,2.0149776104735793,-53457.079047381725,700.3287628187702,-172.45402970848863,0.059312588527717224,-12.38708556690694
0.32,8475799.161636202,-8475048.471945826,2.1227259051745273,-60850.9850832319,699.4633436210302,-172.12159854722668,0.05959072826717621,-13.67187430893963
0.33,4534327.477153346,-4533579.050757671,1.8038248168241466,-45033.86794889708,698.6946928802744,-171.87135777683815,0.05987899703629042,-15.10445612656286
0.34,8455933.954582488,-8455187.742647571,2.096136424374113,-62255.210964268954,698.0286295861084,-171.7071816818705,0.060180968006234244,-16.68323528644161
0.35,8735804.22597179,-8735060.182553705,2.101402491818688,-63995.283189485155,697.4675188657253,-171.63063919166018,0.06049891159977533,-18.40422726884921
0.36,8487176.589041451,-8486434.673532693,2.0749071728006077,-63767.96836601102,697.0102113136353,-171.64028558673652,0.06083411422390288,-20.257212411913557
0.37,8697486.860935928,-8696747.028483063,2.076772840494748,-65231.70294094144,696.6526186433282,-171.7318335884707,0.06118672048169744,-22.228877744750896
0.38,8549524.861495757,-8548787.073774017,2.057428911818235,-65330.501117438675,696.3901223327938,-171.90157819293523,0.06155641216010533,-24.306943916019243
0.39,8492547.933150422,-8491812.15161476,2.0439732934206334,-65750.44059780962,696.2242684977911,-172.14863443320786,0.0619454805758877,-26.487005390487578
0.4,8472967.940043453,-8472234.123143764,2.033249881433461,-66291.16456070333,696.1362896853377,-172.4609909363417,0.06234718302860699,-28.74147136805858
0.41,8511748.496679787,-8511016.611753846,2.026318459088676,-67050.18656312594,696.1286351911269,-172.83900736446688,0.06276356136227265,-31.070786715775945
0.42,8864298.016798833,-8863568.026329217,2.038057357328016,-69028.17156380648,696.2018393952123,-173.28225323528923,0.06319577734360243,-33.47241985249159
0.43,9152933.60661857,-9152205.47449744,2.0458134835515907,-70738.52715405142,696.3345928277538,-173.77671452159316,0.06363574951552542,-35.91654266195483
0.44,9065734.551942056,-9065008.243765147,2.0326155813074,-70975.34789256808,696.5457886176663,-174.33370344641799,0.06409174350523515,-38.426933074756505
0.45,8915488.88845531,-8914764.37247518,2.016151954048025,-70940.86933221888,696.8293924323627,-174.9499317210231,0.06456130968463868,-40.99587292058259
0.46,9466168.106841296,-9465445.35128137,2.0388364746789143,-73661.17284547244,697.1760989667425,-175.61915286321627,0.06504118655711182,-43.608256218184344
0.47,11016020.502719546,-11015299.477637973,2.109900431420696,-80059.84572519678,697.5883509408905,-176.34326157633834,0.06553228165224868,-46.26844007064377
0.48,9601118.053784132,-9600398.727740623,2.0312522821184587,-75269.72167404182,698.0744367020484,-177.12831626911705,0.0660377212877085,-48.98720829980239
0.49,10279090.730725365,-10278373.074952899,2.059117259327197,-78425.08918328333,698.6175764763726,-177.96347073994232,0.06655093952095985,-51.74250303644053
0.5,10177006.138286019,-10176290.124284983,2.0471120722831144,-78557.5750504014,699.2245798464453,-178.8539010345484,0.0670745270679015,-54.542478144855465
0.51,11999688.570396824,-11998974.169241073,2.1264300409314374,-85863.84502990598,699.9036581144483,-179.80595074118912,0.06761127628157867,-57.397804136679355
0.52,10028454.208065255,-10027741.394879112,2.02661828711797,-78980.97435022624,700.6394509809921,-180.80970636085908,0.06815524423315611,-60.28877899794296
0.53,12043996.708579736,-12043285.454549672,2.1152874805938366,-87089.89537657787,701.4364259212772,-181.86852299333975,0.06870793971108059,-63.22151465190639
0.54,12928804.825786067,-12928095.107838945,2.14681104527613,-90769.8950223331,702.2952677967438,-182.9836149111688,0.0692693512794606,-66.19701867893488
0.55,10075215.972166795,-10074507.764818616,-2.0111131019065187,-80575.53381658201,703.2160804335305,-184.15587508180428,0.06983921891225206,-69.21470061576953
0.56,10672389.29233994,-10671682.571706794,2.0346625508302747,-83393.0668771282,704.2175906156015,-185.39978096841173,0.07042385671792253,-72.29647000747232
0.57,15922713.111556115,-15922007.850644305,2.2430165808089266,-102428.47119833663,705.2674640949069,-186.69210867416845,0.07101148091006582,-75.40455975833298
0.58,9739808.812338734,-9739104.9923953,1.978124409301287,-80506.6292419667,706.3783507428152,-188.04245126834604,0.07160623320477356,-78.55425789498085
0.59,10989294.908468733,-10988592.504179802,2.033688470059624,-85952.92487883406,707.5532146389153,-189.4535902840078,0.07220894596041737,-81.74834831197646
0.6,14045282.599987969,-14044581.588531489,2.1572657097073256,-97660.40831358716,708.7838126491177,-190.91936679450637,0.07281653299680933,-84.97760189558414
0.61,16976252.730854955,-16975553.090296783,2.256741743185608,-107886.40151427365,710.0949686022404,-192.46002419227608,0.07343681409521065,-88.26967303067516
0.62,10158211.258270822,-10157512.97483821,-1.979843041718271,-83821.79722525305,711.4655012738298,-194.05948072205595,0.07406230473231243,-91.59829778443624
0.63,12764975.81608868,-12764278.86407272,2.091689052458352,-94397.47191304556,712.9000752514675,-195.72133795693887,0.07469436446292599,-94.96976218849919
0.64,12778059.459857494,-12777363.820339827,-2.0876722854415175,-94857.74488955046,714.3859692575292,-197.4352799258297,0.07532881443816218,-98.3704215985076
0.65,16890014.492556654,-16889320.14235552,2.2340159253292833,-109530.27825323393,715.931155116823,-199.20796690247036,0.075967846950084,-101.80832350305857
0.66,16189607.042656628,-16188913.966551399,2.2059205173125696,-107673.84589668585,717.5423428439423,-201.0456393319189,0.07661302228633989,-105.28995358847888
0.67,16567196.15384837,-16566504.33316238,2.214267658020047,-109358.3263171723,719.2131120359252,-202.94276141302421,0.07726223810214795,-108.80804762866312
0.68,16939402.50779323,-16938711.92406569,2.2223123721227247,-111009.45956030804,720.960044233227,-204.91320929555187,0.07792015137228414,-112.38094878519074
0.69,15831339.868200917,-15830650.50355716,2.1808934894236924,-107717.24456223767,722.7464482121227,-206.92645463788503,0.07857563242627603,-115.96686092032083
0.7,13484630.157111675,-13483941.994754672,2.091207439935284,-99768.66985968794,724.5855594575089,-208.99344556785533,0.07923257203598734,-119.58033853294351
0.71,12522284.776017718,-12521597.798138,-2.049167464507703,-96479.34278573265,726.4777797287255,-211.114508319031,0.07989088244615247,-123.22167855486339
0.72,15500386.435725586,-15499700.626278913,2.1578738521327576,-107723.621654098,728.4340462708672,-213.29961881879504,0.0805531224387089,-126.90170489887352
0.73,14156506.400092764,-14155821.741494002,2.1059229571263716,-103286.14769770415,730.4376175901721,-215.5336572324253,0.08121478718611858,-130.60235855845877
0.74,16975453.531876355,-16974770.008048374,2.200303403905206,-113480.14637109482,732.4933786330647,-217.82084652311676,0.08187719884382784,-134.32795343184205
0.75,16360010.325244138,-16359327.922428736,2.176611425008937,-111754.65871184871,734.6092053855783,-220.1686732848494,0.08254188032896793,-138.08672421758774
0.76,16984067.195661813,-16983385.89757437,2.1937444905778505,-114217.06213375229,736.7621294661325,-222.55597598057975,0.08320324398036316,-141.85433685415282
0.77,17066807.53022603,-17066127.325202532,2.193107454533885,-114840.49305884342,738.9571963283237,-224.98736326229204,0.08386241480345859,-145.63570173882755
0.78,16954835.189328082,-16954156.05861287,2.186348335163862,-114792.39911617401,741.2015543306782,-227.46942072466666,0.08452101484660005,-149.43773033759723
0.79,16881079.23113677,-16880401.16173531,2.1808973139921117,-114864.25032752073,743.4775701437077,-229.98583469337532,0.08517491247826965,-153.24268637330695
0.8,14792915.656456519,-14792238.635813864,-2.10708680069398,-107813.9184737555,745.8045354968865,-232.55322162823467,0.0858289954873701,-157.07024667116892
0.81,17134502.37566595,-17133826.386844963,2.1831672519531264,-116347.81289417576,748.1312945767074,-235.12584437174837,0.08647106129406501,-160.86678985669346
0.82,16190345.552234387,-16189670.58493486,2.1496215045545073,-113387.06370864468,750.4989094925716,-237.7407556807622,0.08711075841939361,-164.675008739591
0.83,17266959.206252705,-17266285.246246558,2.18180901668875,-117393.8737878776,752.9135266104794,-240.40330148803986,0.08774960076918975,-168.50075637377668
0.84,17075076.111472096,-17074403.146178555,2.173064895979535,-117023.76704547684,755.3411301368767,-243.0818395128105,0.08838022938729373,-172.3095649122849
0.85,10411518.75955141,-10410846.78042303,-1.917588505254751,-91575.30364151624,757.786248565493,-245.78035773581786,0.08900378824548137,-176.10670555019252
0.86,17167288.145381674,-17166617.130297936,2.1709439279058538,-117886.17233755343,760.2626636915976,-248.5115801291472,0.08962337761911682,-179.90558403346617
0.87,17191068.06329321,-17190398.005740654,2.169273574224664,-118231.39150602491,762.7560586115317,-251.2618040876837,0.09023613516553353,-183.69219974828613
0.88,15298201.163285566,-15297532.053786753,-2.104527130216646,-111771.13425991974,765.254207302436,-254.01933553363432,0.09083981959234949,-187.4550067147065
0.89,17098211.143116664,-17097542.96697243,-2.161688251732416,-118418.52005188035,767.7396938124971,-256.76767139079743,0.09143115712065397,-191.1770144265776
0.9,14277035.002384162,-14276367.749548208,-2.064153649147582,-108421.26331533333,770.2378970947153,-259.5301610909781,0.09201578159258483,-194.88392773654138
