0.1,0.00596815,871.381,753.352
0.1,0.0120383,896.088,768.865
0.1,0.0181966,879.461,771.743
0.1,0.0244272,864.893,771.62
0.1,0.030714,839.168,752.976
0.1,0.037042,868.378,767.45
0.1,0.0433972,853.565,767.73
0.1,0.0497674,850.017,759.063
0.1,0.0561422,864.161,766.62
0.1,0.062513,866.191,771.022
0.1,0.0688728,1091.85,965.86
0.1,0.0752164,865.293,771.986
0.1,0.0815397,867.004,776.427
0.1,0.08784,879.607,790.261
0.1,0.0941158,920.296,810.069
0.1,0.100366,885.892,820.565
0.1,0.106591,868.261,773.182
0.1,0.112791,1070.29,939.107
0.1,0.118968,1085.3,967.892
0.1,0.125122,1085.29,967.353
0.1,0.131256,850.608,771.172
0.1,0.137371,869.557,791.275
0.1,0.143468,859.327,788.839
0.1,0.149552,891.326,783.424
0.1,0.155622,980.818,900.616
0.1,0.161681,874.629,798.067
0.1,0.167732,879.074,765.682
0.1,0.173775,875.312,767.242
0.1,0.179813,870.698,772.879
0.1,0.185848,865.752,760.318
0.1,0.191881,855.326,754.222
0.1,0.197913,852.682,787.368
0.1,0.203946,854.011,739.327
0.1,0.20998,860.874,761.027
0.1,0.216018,1031.6,925.81
0.1,0.22206,865.64,786.736
0.1,0.228107,873.6,776.552
0.1,0.234159,871.571,775.144
0.1,0.240217,866.404,769.407
0.1,0.246281,863.599,750.439
0.1,0.252352,864.6,737.103
0.1,0.25843,871.57,781.053
0.1,0.264515,867.217,775.033
0.1,0.270606,860.74,762.403
0.1,0.276705,1078.73,943.915
0.1,0.282809,866.341,772.256
0.1,0.288919,862.501,772.753
0.1,0.295035,863.578,769.356
0.1,0.301156,868.934,764.818
0.1,0.307281,864.317,765.402
0.1,0.313409,854.912,750.636
0.1,0.31954,860.958,747.515
0.1,0.325674,865.289,762.174
0.1,0.331808,867.187,768.443
0.1,0.337943,864.686,767.67
0.1,0.344077,872.584,778.046
0.1,0.35021,1061.33,934.67
0.1,0.356341,857.813,762.641
0.1,0.36247,866.931,761.321
0.1,0.368594,906.904,799.967
0.1,0.374714,883.441,811.961
0.1,0.380829,870.651,780.572
0.1,0.386939,865.283,768.856
0.1,0.393042,1095.78,971.824
0.1,0.399139,871.396,774.753
0.1,0.405229,1058.08,927.354
0.1,0.41131,860.659,765.753
0.1,0.417385,861.972,770.756
0.1,0.42345,937.369,844.327
0.1,0.429508,905.546,771.873
0.1,0.435557,893.923,772.726
0.1,0.441597,889.817,784.046
0.1,0.447629,888.781,771.266
0.1,0.453652,882.067,765.31
0.1,0.459666,881.677,779.323
0.1,0.465672,871.618,769.972
0.1,0.471669,869.943,768.861
0.1,0.477659,971.013,853.655
0.1,0.48364,874.428,790.464
0.1,0.489613,869.316,765.995
0.1,0.495579,866.882,761.299
0.1,0.501537,866.226,770.258
0.1,0.507488,867.496,773.467
0.1,0.513433,862.142,769.58
0.1,0.51937,864.288,769.247
0.1,0.525301,863.552,765.32
0.1,0.531226,875.424,778.333
0.1,0.537145,1036.01,909.982
0.1,0.543058,874.903,790.246
0.1,0.548965,872.659,781.103
0.1,0.554866,871.614,770.937
0.1,0.560762,874.765,777.35
0.1,0.566652,1049.95,888.738
0.1,0.572537,869.874,767.099
0.1,0.578416,868.924,768.397
0.1,0.58429,867.274,772.921
0.1,0.590157,874.016,779.134
0.1,0.596019,863.615,766.48
0.1,0.601874,1083.65,956.726
0.1,0.607723,872.389,773.021
0.1,0.613566,875.184,780.641
0.1,0.619401,867.05,768.966
0.1,0.625228,887.991,794.181
0.1,0.631048,920.673,802.217
0.1,0.636859,934.206,858.947
0.1,0.642661,891.735,799.616
0.1,0.648455,877.832,774.518
0.1,0.654238,875.792,769.784
0.1,0.660011,876.876,779.823
0.1,0.665773,1079.87,929.606
0.1,0.671525,866.604,764.659
0.1,0.677264,868.171,768.341
0.1,0.682992,896.341,781.5
0.1,0.688707,895.546,794.744
0.1,0.69441,870.789,770.132
0.1,0.7001,1057.31,942.512
0.1,0.705777,873.346,780.846
0.1,0.711442,1092.75,947.802
0.1,0.717094,872.88,765.751
0.1,0.722733,888.406,791.336
0.1,0.728361,988.963,801.678
0.1,0.733977,876.958,775.606
0.1,0.739582,869.06,759.538
0.1,0.745177,872.283,758.066
0.1,0.750762,882.375,766.965
